label,statement,length,sensationalism
true,take popul growth virginia net zero job creation sinc bob mcdonnel becam governor,81,0.0
barely-true,obama home valu florida collap construct job lost state high foreclosur rate,77,0.0038520729361976036
mostly-true,new arizona immigr law say polic offic stop anyon appear reason suspici undocu person,85,0.006742020759563205
mostly-true,time histori debt higher end world war ii,41,0.016357763368614497
mostly-true,cost health care singl biggest factor drive feder budget deficit,64,0.0
true,recess consum nativ perver begun save save rate percent,56,0.0
false,whether u suprem court nomin forthcom confirm hear,51,0.0
barely-true,say one three u homeless men veteran,36,0.0
false,say char crist support cut medicar advantag program,53,0.010301294638750846
half-true,think unaccept chine today larger wind power solar panel photovolta manufactur europ put togeth forget unit state,114,0.0026551931949835295
true,say scott brown co sponsor legisl let employ deni women coverag birth control,77,0.0
half-true,point live women use birth control,34,0.0
false,past year egypt made great stride polit democrat reform,55,0.0
false,amount attent paid week chris christi make coverag benghazi pale signif,73,0.0
true,say u rep steve southerland vote keep shutdown go,49,0.0
half-true,rick perri texa import nur countri,35,0.0
mostly-true,feder crimin law say crime transport dentur across state line,61,0.026032150504819773
mostly-true,built new prison everi day keep mass incarc explo nonviol offend,67,0.0
barely-true,sen mccain tax plan provid virtual noth middl class,51,0.0
false,austin burden fastest grow tax increa major citi nation,56,0.0
false,phoenix arizona kidnap capit world,34,0.03376120360471346
true,belong afl cio,14,0.0
mostly-true,insur commiss cant squat health care,39,0.0
half-true,say poll found republican candid could beat barack obama texa eight point,73,0.0
barely-true,presid ronald reagan sent troop conflict one circumst grenada peacekeep set lebanon,83,0.0
barely-true,say david jolli support privat social secur,43,0.010949532103550541
true,know us popul growth lowest sinc great depress,46,0.0
mostly-true,averag student florida actual pay pocket major univ tuition much less spend cellphon,87,0.0
true,sinc american die gunfir die war countri histori,48,0.013908576807280526
mostly-true,foreclosur tax would take effect could mean high tax bill face foreclosur million famili modifi mortgag short sale lender,121,0.0
false,florida depart agricultur websit freshfromflorida com use get permit carri load hidden gun without ever leav hous,113,0.0076030946402643185
pants-fire,atlanta streetcar expect creat job construct total job next year,64,0.0
mostly-true,rai minimum wage hour would help lift million american poverti,63,0.0
mostly-true,say secretari state john kerri senat flew managua met communist dictat daniel ortega accus reagan administr engag terror,120,0.03889396342507234
false,nato open major terror divi im sure im go get credit larg say critic nato,74,0.037265636825052795
true,sen obama alway percent prochoic rate,37,0.0
half-true,sinc gina raimondo took offic invest fee state pension portfolio gone million annual million,92,0.0031904964124821467
true,feder debt grow billion day,27,0.0
half-true,presid barack obama job bill state would longer lay teacher firefight polic offic,81,0.004010587220398487
false,teacher k teacher today year old,32,0.0
mostly-true,two third wisconsinit receiv unemploy check requir search work due current work search exempt,93,0.0
half-true,presid obama health care reform premium averag plan famili didnt go per year gone per year,90,0.0
half-true,ir also investig liber group group progress name ir basic look everybodi,72,0.0
barely-true,say obama promi unemploy would never go percent,48,0.0
true,economi creat job fastest pace sinc,35,0.0
mostly-true,presid obama decid meet prime minist benjamin netanyahu new york,64,0.0
mostly-true,major state marri freeli still fire love,40,0.03814562124225451
pants-fire,say oregon rep peter defazio earl blumenau socialist open serv u congress,73,0.0
pants-fire,rudi giuliani probabl underqualifi man sinc georg bush seek presid,66,0.0
false,half presid governor half senat,31,0.0
mostly-true,britain vote leav european union within hour american lost billion k,68,0.0
mostly-true,medicaid spend declin percent second declin year,48,0.0
true,say texa constabl die line duti,31,0.0
mostly-true,gov rick scott cut cost prepaid colleg tuition near,51,0.0
mostly-true,citi columbus would save million year employ contribut guarant check pension,78,0.0
true,florida cfo shut krakow scam refund million josephin victim con man,67,0.0
mostly-true,women get comput scienc degr factor plus,41,0.0
false,air forc want taxpay fund fantasi footbal leagu,47,0.0
pants-fire,barack hussein obama forc court accept islam sharia law domest disput,69,0.02494812647094946
half-true,percent murder crime commit gun peopl actual legal purcha gun,62,0.03572124595977144
mostly-true,neighborhood school close,25,0.0
mostly-true,told gay organ massachusett would stronger advoc special right even ted kennedi,79,0.0
mostly-true,year speaker florida hous consist offer leaner budget governor offer,68,0.0
barely-true,alreadi almost halfway goal creat new job seven year,52,0.0
true,say u suprem court found social secur guarant,46,0.0
false,saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado,85,0.0
true,oregonian amaz cost way fight abort free polit donat,52,0.0
pants-fire,presid said hes go bring syrian iraqi refug countri,52,0.0
barely-true,research show vast major arriv immigr today come believ govern sourc prosper support,89,0.006923781882429814
mostly-true,newt gingrich immigr plan offer new doorway amnesti,51,0.0
false,mr caprio career politician never work privat sector,52,0.0
barely-true,rhode island percent worker use state temporari disabl insur program year new jersey rate percent,97,0.0037283652818345114
mostly-true,year spend social secur feder health care interest debt exceed tax revenu,73,0.0
mostly-true,presid obama took money wall street campaign anybodi ever,57,0.0
half-true,donald trump said nuclear prolif ok,37,0.03771772736414669
true,hillari clinton taken lobbyist,30,0.0
false,barack obama never even work busi,33,0.0
half-true,say arizona immigr law expressli ban racial profil,50,0.022809517675200897
false,say gov rick perri beg feder govern send coast guard patrol two lake u mexico border,84,0.0
barely-true,va veteran die wait care,24,0.0
mostly-true,spend percent economi govern,28,0.0
barely-true,rob cornil support privat medicar,34,0.01149033136717914
false,dan branch tri expand third trimest abort texa,46,0.0
half-true,democrat made steadi progress creat job improv school,53,0.0
pants-fire,michigan massachusett rai bottl deposit could longer afford program redempt high profit,88,0.0
true,whether like admit half general revenu goe educ,47,0.0
false,im one whos fought develop drain everglad,41,0.0
half-true,say ron johnson call social secur ponzi scheme want privat program,66,0.0
half-true,state citi type polici pass refer north carolina hous bill,58,0.004181383025737229
barely-true,climat chang direct relat growth terror,39,0.07126347529599308
barely-true,job bill includ presid obama tax soup kitchen,45,0.0
barely-true,say obama administr spent taxpay dollar electr car finland windmil china,72,0.0
half-true,sarah mayor wasilla tri fire high respect citi librarian librarian refus consid remov librari book sarah want remov,115,0.017038951236266753
half-true,milwauk approv reduc maximum forfeitur marijuana possess citi would differ bicycl violat higher forfeitur,106,0.0
false,illeg immigr five year ago,26,0.0
barely-true,say rick perri wrote letter support hillarycar,46,0.009583145098817747
false,u patent trademark offic receiv zero complaint washington redskin name,70,0.0
pants-fire,presid health care propo caus american premium increa decrea hundr million peopl lose current insur coverag,110,0.0
mostly-true,mexican immigr law abid u citizen statist,41,0.009598557046578748
half-true,say chris christi veto job packag bill,38,0.0
true,alreadi american job solar industri coal mine,45,0.0
half-true,say illinoi gubernatori candid bill bradi first prioriti win primari sponsor bill would mass euthan shelter dog cat gas chamber,127,0.00584528022621944
half-true,barack obama economi worsen sinc hes presid unit state,59,0.004917494905974262
mostly-true,romney fail take action sanctuari citi massachusett,51,0.0
half-true,say new jersey near job pre recess peak gov chris christi new jersey trail rest america come unemploy consecut month,116,0.0
false,say thoma eric duncan came unit state elev temperatur,53,0.003772138615177889
mostly-true,afghanistan longer foreign land conduct war nation histori,58,0.014700340357288622
half-true,gas price gone sinc obama took offic,36,0.022608070053095508
true,webster sponsor bill creat form marriag would trap women abus relationship,74,0.0
true,say judg get better benefit lower cost everybodi el state,58,0.004367044511620288
true,lot casino across countri gone bankrupt,39,0.0
true,small busi creat percent job america,36,0.0
half-true,senior coverag medicar advantag give share health care reform,61,0.0
half-true,school kid arrest florida make florida nation leader area,57,0.0
mostly-true,texa countri economi would rank world,37,0.0
false,oil rig oper unit state rest world combin,41,0.004634265283896322
half-true,payday lender profit poor charg plus percent interest,53,0.0
half-true,social secur trust fund sound without anyth done would function well even time chang could pay percent benefit peopl earn,121,0.0
mostly-true,commit voter take serious incumb ohio break pledg vote ted strickland incom tax hike defeat sound tuesday,105,0.0
false,obama administr shut amber alert program govern shutdown,56,0.0
mostly-true,republican percent muslim vote,30,0.0
mostly-true,w e see america prison popul explod america greater percentag peopl behind bar nation world,91,0.0
pants-fire,say hear rep gabriel gifford suggest gen david petraeus armi put emphasi less environ damag method like stab club enemi forc order minim carbon output,155,0.0
half-true,everi singl one republican senat block rai minimum wage receiv cost live adjust januari,88,0.0
true,texa name new male babi mani vote one day jose,46,0.0
mostly-true,marco rubio vote author presid obama strike syria assad use chemic weapon peopl,79,0.014739710749063661
false,cash clunker program got go local junkyard got tow hous go get,62,0.0
false,one republican gut recogn climat chang real,43,0.0
half-true,peopl work longer hour lower wage almost new incom goe top percent,66,0.0
pants-fire,david dewhurst record promot incom tax,38,0.0
mostly-true,point pleasant beach beach privat oper busi jenkinson,57,0.0
barely-true,past year percent american chang mind war afghanistan conclud,61,0.014582477793547488
false,last five year peopl kill along u mexico border,47,0.0
barely-true,state ohio one lowest unemploy rate nation right lead pack term job creation,76,0.003998453390453571
false,say obama health reform law deni million access afford insur,60,0.00980463221426664
barely-true,say hb hasnt move needl one iota north carolina economi,55,0.0
false,close feder prison popul consist illeg immigr,45,0.0
false,say rick scott call educ core function state,44,0.004995041711437942
false,famili research council accord govern agenc terrorist group,59,0.0
true,say rep jim weidner propo bill take away health care oregon children,69,0.0
true,say elect former gov tom kean largest win margin gubernatori candid jersey histori,82,0.0
false,obamacar biggest tax increa american histori,45,0.0
true,said barack obama readi command chief,37,0.0
mostly-true,median male worker countri seen rai inflat adjust year basic,61,0.0
barely-true,milwauk mayor tom barrett held line properti tax,49,0.0
true,im member hous repr rai campaign fund last elect small contribut less,72,0.0
true,unlik gridlock washington percent bill pass general assembl bipartisan support,78,0.008124024374710936
false,josh mandel lie record rate ohio invest fund improv,51,0.0
half-true,rick scott took famili lea land drill tri hide,47,0.0
half-true,money possibl lea ohio turnpik would use,41,0.0
mostly-true,begin last decad america budget surplus billion time took offic one year deficit trillion project deficit trillion next decad,125,0.0
half-true,presid nomin confirm four defeat,32,0.0
true,u taxpay forc fund feisal abdul rauf trip middl east,52,0.0
barely-true,milwauk counti taxpay paid settl lawsuit deci sheriff david clark jr use untrain correct offic rather deputi patrol lakefront,127,0.0
mostly-true,justic depart polici fbi director jame comey discuss detail feder investig close elect,86,0.015953165110226264
true,democrat presid consid effect creat privat sector job,55,0.0
true,joe biden vote first gulf war oppo surg want partit iraq,57,0.02036957079958235
barely-true,say rush limbaugh made clear hed rather see countri fail presid barack obama succeed,84,0.0
half-true,one percent american peopl make percent incom america wasnt way georg bush becam presid,87,0.0
half-true,militari recruit went harvard everi singl day throughout time kagan,67,0.0
mostly-true,say rick perri plan texa cut fund public school,47,0.0
half-true,say david perdu want abolish u depart educ would cost georgia school billion year elimin million student loan,109,0.0
mostly-true,paul ryan budget propo would privat medicar,44,0.0
mostly-true,high school student arrest campus twice like graduat four time less like graduat theyv appear court,99,0.0
half-true,unit state imprison nation world,32,0.00650477149785289
pants-fire,say marco rubio one open border,31,0.0
mostly-true,year feder spend educ grown percent test score remain flat,58,0.0
barely-true,say cut medicar affect peopl alreadi paid paid,46,0.0
barely-true,david alameel give thousand dollar support republican parti candid includ john cornyn greg abbott,97,0.0067532948224736655
true,american healthcar system burn percent nation gdp nobodi el close,66,0.012067952875141175
false,provid port mile closer europ eastern port,42,0.0
true,say need photo id purcha sudaf texa,36,0.0
mostly-true,twenti percent hous portland pearl district afford,50,0.0
mostly-true,say allow payrol tax holiday expir would end cost anoth estim job,65,0.0
half-true,hillari clinton support nafta perman china trade pennsylvania lost thousand job,79,0.008022444848439059
half-true,numer studi shown call right work law generat job econom growth,63,0.007761852210944387
true,obama budget plan would take nation debt percent gross nation product histor percent,84,0.0
barely-true,say hillari clinton said veteran affair scandal exagg said satisfi go,71,0.0
false,driven health care cost lowest theyv year,41,0.0
half-true,presid barack obama initi respon heard christma underwear bomber say act isol extremist,88,0.024904474692332257
half-true,say sen sherrod brown admit billion stimulus law fail specif attack republican want lower american tax claim stimulus bill didnt enough lower tax,145,0.04345118610876375
mostly-true,lot peopl got rich pay top tax rate percent,43,0.0
mostly-true,charleston c shootershould never given gun univ background check fast enough,79,0.009623818792717564
barely-true,sixti five percent iraqi peopl say okay shoot american soldier,62,0.0
false,twelv judg thrown legal challeng health care law reject notion health care law unconstitut,90,0.011560435964574345
half-true,say gov chris christi propo reduc state incom tax would second tax cut rich governor two year,94,0.003698784109333886
true,warren buffett still support,28,0.012073448762562777
true,say georg lemieux one two republican vote presid barack obama job bill,70,0.0
false,precinct allen west patrick murphi recount regist voter guatemalan communiti talli show vote,92,0.0
mostly-true,peopl unemploy took offic unemploy,34,0.0
barely-true,one person kathleen sebelius go determin whether year old lung patient sarah murnaghan would live die,101,0.0
pants-fire,ron klein repeat vote favor amnesti illeg immigr,48,0.0
false,local law enforc access obamacar data hub treasur trove person info,67,0.006286832812880672
true,tenur mayor saw houston crime rate drop lowest level year,57,0.013138663961416719
pants-fire,barack obama columbia univ id say foreign student went barri soetoro,71,0.0
barely-true,john mccain one richest peopl senat fill millionair say solut hous crisi peopl get second job skip vacat,104,0.0
false,terri mcauliff want rai tax pay infinit promi,47,0.0
half-true,hypocrisi clinton foundat top male staff made averag top femal staff made,73,0.0
mostly-true,sinc feder violenc women act adopt case domest violenc fallen percent,69,0.0
half-true,say feder law enforc offic cut question christma day underwear bomber give miranda warn minut question,102,0.026948836473002058
half-true,legal illeg immigr,18,0.0
true,near half pregnanc u unintend,29,0.0
half-true,borrow saudi money saudi oil result depend debt,47,0.0
half-true,say home sale around oswego lake right anyon welcom buy,55,0.0
half-true,sinc presid becam presid lost million job privat sector know whos done ok whos complain today public sector weve gain public sector job,135,0.0
false,top percent pay half entir revenu countri,41,0.0
barely-true,differ previous four year thing head brought last four year total save properti tax money,89,0.0
half-true,chris christi increa tax anyon,31,0.0
barely-true,unit state system grower dairi bring workforc legal u,53,0.016851971291533152
false,say never said would keep educ fund,35,0.0
true,sinc colleg tuition nationwid gone someth like four time rate inflat,68,0.0
half-true,say sen rob portman said would irrespon cut medicar,52,0.0
mostly-true,dekalb school construct project alway came budget,49,0.0
false,palin support right wing extremist pat buchanan presid,54,0.008237191796054089
barely-true,say sen sherrod brown vote block american energi product increa energi tax,75,0.0
barely-true,say jeann shaheen vote measur would amount new nation energi tax,64,0.0
half-true,washington c strictest gun law countri pass violenc skyrocket,61,0.021035418689650975
mostly-true,seven presid barack obama republican democrat tri expand health care american,77,0.0
false,fight move toughen penalti workplac gender discrimin state sen glenn grothman said didnt believ women belong workplac belong home cook clean babi,145,0.0020452012807545827
false,put billion revenu rai year buffett rule infrastructur could creat infrastructur job,85,0.0
pants-fire,proper collect noun group baboon believ congress,48,0.0
true,repeat said mani predatori loan made mortgag system target african american latino communiti,92,0.01018207269944138
mostly-true,start decemb million job creat texa period rest countri lost job,64,0.0
barely-true,health reform legisl washington pass last year made difficult hire increa cost employ,86,0.0
barely-true,cbo congress budget offic said obamacar kill job,51,0.0
barely-true,thompson vote cap damag almost anyth would make legal system fairer,67,0.011257788713462835
pants-fire,texa fiscal year money reserv state combin,42,0.005613756683203297
false,use strateg petroleum reserv,28,0.0
mostly-true,immigr fertil,13,0.0
mostly-true,propo educ chang cut one teacher pay,37,0.0
pants-fire,number uninsur peopl massachusett mandat pass,45,0.0
mostly-true,firearm homicid percent sinc texa pass conceal gun permit law,61,0.020059932851570927
false,upward percent women seek abort decid abort see ultrasound,58,0.0
pants-fire,spend less defen today gdp time sinc pearl harbor,50,0.0
mostly-true,got rid incom tax today much revenu year ago,44,0.0
half-true,say scott walker want ban common form birth control includ pill,63,0.01390756633708845
false,jason kander support obama plan bring remain suspect terrorist u soil,69,0.00739784917558306
half-true,shelbi counti donat im sorri gave school citi memphi,52,0.0
half-true,top u intellig offici toldeveri member congress includ presid attack serious way threat eman syria iraq,103,0.07578253819462066
true,suburb inund former resid atlanta hous project absolut,54,0.0
true,juli mitt romney help locat miss teenag daughter partner bain capit,67,0.0
barely-true,blame mike mcintyr nanci pelosi second straight year cost live increa social secur beneficiari,95,0.0
barely-true,govern go right get bank account health care bill make transfer without know,76,0.0
half-true,mechan place shut internet privat,33,0.0
barely-true,american peopl support defund obamacar oppo shut govern,56,0.010405316122795938
half-true,report gop insist chang social secur part fiscalcliff fal btw chang support barackobama,88,0.0059536429818851655
true,nobodi play clip presid obama say bring knife fight well bring gun,66,0.008834006187724452
pants-fire,peopl rhode island dont want sex marriag,40,0.0
half-true,rep paul ryan medicar plan line pocket privat insur compani increa cost senior reduc deficit,93,0.0
barely-true,year congress conni mack iv miss almost half vote,49,0.0
barely-true,kid drop high school go colleg start career,43,0.0
barely-true,even old gen eisenhow salut militari personnel presid,53,0.0
true,wisconsin governor cut perquisit much plan would still leav worker better privat sector counterpart,99,0.0
barely-true,cant get airplan peopl list abl buy gun,39,0.012257161256948312
false,percent republican support afford care act,42,0.013844099649403807
half-true,everi spent afterschool program save almost crime cost line,59,0.014013840406365774
half-true,feder govern trillion cash flow pay bill wont default,53,0.0
false,say alex sink fail florida homeown use predatori lend practic,61,0.0
barely-true,percent small mid size bank loan money small busi wipe sinc dodd frank pass,75,0.0
barely-true,cant check librari book without photo id,40,0.0
pants-fire,say starbuck took christma brand new cup,40,0.0
mostly-true,atmosph condit could push footbal pressur approxim one half pound per squar inch,82,0.0
false,hillari clinton support unlimit abort demand moment birth includ partial birth abort taxpay fund,96,0.006045266620399725
true,legisl clear georgia hous children legal refug could obtain state scholarship attend privat school,99,0.0035037630339860293
mostly-true,went lose million job last six month bush administr ad almost privat sector job first six month year,100,0.007207983226454884
half-true,star ohio fund receiv highest possibl credit rate one fund receiv,65,0.0
half-true,taxpay hook less third propo new atlanta falcon stadium fund repaid money come outsid,86,0.0
mostly-true,last month busi creat million job last year creat job sinc,58,0.0
half-true,everi year million leav missouri lone star state,48,0.004449521375935794
mostly-true,colleg loan loan unit state refin interest rate go,50,0.0038795002648909227
mostly-true,hous repr never pass resolut disapprov condemn member behavior,64,0.0
mostly-true,younger competitor entir immigr,31,0.0
half-true,recent intern report show unit state near bottom among industri nation k academ achiev,86,0.003587263428780685
true,say million peopl countri cant find full time job million cant see doctor theyr sick million peopl need govern help feed million famili owe valu home,149,0.0
half-true,polici mistak clinton made got us larg degr situat today mass incarc,71,0.0
barely-true,say rai averag famili incom percent tenur arkansa governor,59,0.0
half-true,tri give us million build high speed train goe mile hour,56,0.0
half-true,say cbo estim fulli extend bush tax cut would add million job million job,73,0.0
true,presid reagan rai debt ceil time georg w bush seven time,57,0.0
half-true,accord david cay johnston averag american pay percent incom feder tax richest american pay percent incom feder tax,114,0.0
false,young american right theyr cover health insur,45,0.0
mostly-true,corpor incom tax account percent feder tax revenu today despit record break profit corpor tax bring less percent,112,0.0
true,last year texa creat percent net new job nationwid,50,0.0
pants-fire,say two third group target ir scrutini conserv,46,0.0
pants-fire,class patric lumumba univ moscow mahmoud abba one member class ali khamenei first establish relationship young vladimir putin,133,0.0053156274971560835
half-true,last week texa state board educ sboe led rick perri appoint vote remov thoma jefferson social studi textbook standard right thoma jefferson delet list histor figur inspir polit chang,188,0.0019607789825676347
barely-true,u senat salari perk berni top percent still paid percent tax last year,70,0.0
true,know pull truth matter start today would take one year one year get troop physic iraq logist,92,0.0
half-true,richest american increa net wealth billion yet republican budget would requir american contribut one penni deficit reduct,122,0.0
half-true,say foster mayor rick kriseman ineffect florida hous repr legisl pass hous kriseman name,90,0.0
mostly-true,say texa routin get lot feder spend pay tax,43,0.0
false,cell phone number go public month,33,0.0
barely-true,say offer million save million save next year contract negoti citi milwauk,75,0.0
false,clackama counti commiss approv negoti agreement lower counti contribut trimet portland milwauki light rail project million million,133,0.0
mostly-true,say texa differ feloni commit oyster,36,0.0
false,obama administr unwind nation welfar work requir,48,0.0
true,electr car sale georgia drop dramat sinc tax credit elimin annual registr fee impo juli,88,0.0
half-true,redskin train camp deal generat million new privat invest citi,62,0.0
half-true,gop budget plan would cut near million job,42,0.0
half-true,peopl live countri born anytim histori countri,46,0.0
half-true,say hillari clinton defend syria presid assad possibl reform start countri civil war,84,0.012037590181342428
half-true,postal servic financ loss result law drain billion year post offic revenu postal servic forc overpay billion feder account,123,0.004788777469307726
mostly-true,mani six feder depart budget bill delay opposit amend would ban confed battl flag sale feder build gift shop,110,0.009738604407577123
pants-fire,shes vote tax increa hurt middl class small busi,49,0.0
barely-true,hous repr differ job bill pass almost bipartisan,50,0.0
pants-fire,sheila jackson lee texa said hey wrink white age time die let next generat spot planet,91,0.0
barely-true,republican small busi tax cut bill spend million better googl search job creation,81,0.0
mostly-true,state law would allow oper iron ore mine northern wisconsin fill pristin stream pond mine wast,94,0.00769590684206245
barely-true,america one highest tax nation world,36,0.0
false,black america countri itd th wealthiest nation world,52,0.0
half-true,sinc republican took elect graduat rate wisconsin gone percent percent black graduat rate gone percent percent latino graduat rate gone percent percent,151,0.0
barely-true,estim near percent gun sold america sold privat unlicen seller either onlin gun show,85,0.015547696542234535
true,deadliest year war afghanistan american forc,44,0.01698748286931573
mostly-true,florida teacher alreadi paid nation averag,42,0.0
half-true,sinc rick perri becam governor texa gone th countri th popul graduat high school,80,0.0
true,say amanda fritz manag less percent citi oper,45,0.0
half-true,streetcar project plan mayor tom barrett would style trolley,60,0.0
half-true,american last year doubl amount money spend per child educ result gotten wor better,84,0.0
barely-true,poll show floridian dont want repeal afford care act,52,0.0
false,say congressman bill pascrel vote remov public option afford health care act,76,0.0
true,lawmak paid season effort first time take lead draw border two would citi,73,0.008261554219040068
pants-fire,greg abbott surrog refer women victim rape incest though somehow confront minor issu,84,0.0
true,offshor drill energi,20,0.0
barely-true,propo medic marijuana amend florida dont get refil get forev,61,0.0
pants-fire,data store microchip would implant major peopl opt becom cover public health care option,88,0.0
half-true,enact right carri act would amount expand right sex offend terrorist child predat abus carri conceal weapon across state line,125,0.013007753385383847
true,miss vote sinc,14,0.0
barely-true,say treasur offic save million manag cost oversight public invest,65,0.0
mostly-true,say georgia send state money per child state charter school budget cut appli charter school,91,0.006191860116419146
false,jorg elorza want impo municip incom tax,40,0.0
barely-true,suprem court cant overrul two branchesof govern,47,0.0
pants-fire,rough ri crimin record,22,0.0
half-true,nathan deal cut hope scholarship program liter georgian abl go colleg get technic train bad need rai know give chanc good job,126,0.0
half-true,governor arkansa cut tax fee almost time save taxpay almost million left surplus near million,93,0.0
half-true,havent rai tax time ive governor new jersey,44,0.0
false,massachusett public school teach kid young kindergartn gay marriag,66,0.0
pants-fire,probabl one four five best known american world,47,0.0
barely-true,accept legal immigr ever histori unit state,43,0.005558932000135797
true,congress bewild scope reach spi apparatus explicit reject amend call disclosur,78,0.0
half-true,six peopl florida die result expand medicaid everi day,54,0.0
mostly-true,gov maggi hassan budget propo rai tax small busi increa tax fee million,74,0.0
barely-true,washington would politician spend million teach moroccan make potteri,69,0.0
true,hillari clinton start percent countri,37,0.0
false,saysrand paulha put budget cut militari half,44,0.0
half-true,group receiv foreign money spend huge sum influenc american elect,65,0.0
true,say legisl cut mean texa spend averag less per student,54,0.0
half-true,current rate presid obama ad debt unit state america end first term previous presid combin,90,0.012731561708962058
half-true,know saudi arabia start al qaida,32,0.023071812039631268
mostly-true,say williamson counti attorney jana duti never prosecut singl adult feloni case,79,0.0
false,fundrai number grassroot support unmatch,41,0.009677693237951535
mostly-true,issu make illeg us negoti enough firefight job,46,0.0
mostly-true,say although unemploy rate seem improv reflect real job creation caus shrink actual labor forc,94,0.0
pants-fire,gov scott walker hire convict assembl speaker scott jensen overs raid state employ retir system help balanc state budget,122,0.01387441652158683
barely-true,obama vote cut fund american troop battlefield,46,0.0
