label,statement,length,Controversial
barely-true,town west texa water truck water,85,0.0
half-true,georgia women earn cent everi dollar earn men,63,0.0
half-true,feder system verifi employ author work u inaccur anywh percent way excess percent time,169,0.0
barely-true,go build wall ago long ago like couldnt get environ impact statement,129,0.0
false,sen obama campaign announc choo cabinet,63,0.0
mostly-true,percent latino texa regist vote percent actual turn,109,0.0
false,percent public high school countri offer pe class,70,0.0
mostly-true,said republican candid actual turn around govern economi,92,0.0
true,militari recruit harvard elena kagan took posit suprem court rule unanim wrong,124,0.0
mostly-true,public school teacher texa non teacher public school,108,0.0
false,mayor cicillin provid sanctuari citi,57,0.0
pants-fire,transgend individu u chanc murder,76,0.0
true,bain capit help start ear childhood learn compani call bright horizon first ladi michel obama right prai,139,0.0
false,say man rush stage dayton ohio chatter isi isi social media post,121,0.0
barely-true,u rep phil gingrey gave govern power electron spi american without warrant,106,0.0
barely-true,alex sink funnel three quarter million dollar bid contract bank america,94,0.0
true,take popul growth virginia net zero job creation sinc bob mcdonnel becam governor,122,0.0
barely-true,obama home valu florida collap construct job lost state high foreclosur rate,117,0.0
mostly-true,new arizona immigr law say polic offic stop anyon appear reason suspici undocu person,159,0.0
mostly-true,time histori debt higher end world war ii,97,0.0
mostly-true,cost health care singl biggest factor drive feder budget deficit,97,0.0
true,recess consum nativ perver begun save save rate percent,115,0.0
false,whether u suprem court nomin forthcom confirm hear,87,0.0
barely-true,say one three u homeless men veteran,53,0.0
false,say char crist support cut medicar advantag program,67,0.0
half-true,think unaccept chine today larger wind power solar panel photovolta manufactur europ put togeth forget unit state,187,0.0
true,say scott brown co sponsor legisl let employ deni women coverag birth control,97,0.0
half-true,point live women use birth control,61,0.0
false,past year egypt made great stride polit democrat reform,86,0.0
false,amount attent paid week chris christi make coverag benghazi pale signif,113,0.0
true,say u rep steve southerland vote keep shutdown go,66,0.0
half-true,rick perri texa import nur countri,64,0.0
mostly-true,feder crimin law say crime transport dentur across state line,95,0.0
mostly-true,built new prison everi day keep mass incarc explo nonviol offend,131,0.0
barely-true,sen mccain tax plan provid virtual noth middl class,72,0.0
false,austin burden fastest grow tax increa major citi nation,88,0.0
false,phoenix arizona kidnap capit world,63,0.0
true,belong afl cio,24,0.0
mostly-true,insur commiss cant squat health care,59,0.0
half-true,say poll found republican candid could beat barack obama texa eight point,112,0.0
barely-true,presid ronald reagan sent troop conflict one circumst grenada peacekeep set lebanon,142,0.0
barely-true,say david jolli support privat social secur,54,0.0
true,know us popul growth lowest sinc great depress,78,0.0
mostly-true,averag student florida actual pay pocket major univ tuition much less spend cellphon,161,0.0
true,sinc american die gunfir die war countri histori,101,0.0
mostly-true,foreclosur tax would take effect could mean high tax bill face foreclosur million famili modifi mortgag short sale lender,199,0.0
false,florida depart agricultur websit freshfromflorida com use get permit carri load hidden gun without ever leav hous,157,0.0
pants-fire,atlanta streetcar expect creat job construct total job next year,127,0.0
mostly-true,rai minimum wage hour would help lift million american poverti,100,0.0
mostly-true,say secretari state john kerri senat flew managua met communist dictat daniel ortega accus reagan administr engag terror,194,0.0
false,nato open major terror divi im sure im go get credit larg say critic nato,166,0.0
true,sen obama alway percent prochoic rate,57,0.0
half-true,sinc gina raimondo took offic invest fee state pension portfolio gone million annual million,147,0.0
true,feder debt grow billion day,60,0.0
half-true,presid barack obama job bill state would longer lay teacher firefight polic offic,123,0.0
false,teacher k teacher today year old,95,0.0
mostly-true,two third wisconsinit receiv unemploy check requir search work due current work search exempt,132,0.0
half-true,presid obama health care reform premium averag plan famili didnt go per year gone per year,157,0.0
half-true,ir also investig liber group group progress name ir basic look everybodi,132,0.0
barely-true,say obama promi unemploy would never go percent,64,0.0
true,economi creat job fastest pace sinc,60,0.0
mostly-true,presid obama decid meet prime minist benjamin netanyahu new york,87,0.0
mostly-true,major state marri freeli still fire love,91,0.0
pants-fire,say oregon rep peter defazio earl blumenau socialist open serv u congress,110,0.0
pants-fire,rudi giuliani probabl underqualifi man sinc georg bush seek presid,97,0.0
false,half presid governor half senat,73,0.0
mostly-true,britain vote leav european union within hour american lost billion k,111,0.0
mostly-true,medicaid spend declin percent second declin year,87,0.0
true,say texa constabl die line duti,55,0.0
mostly-true,gov rick scott cut cost prepaid colleg tuition near,74,0.0
mostly-true,citi columbus would save million year employ contribut guarant check pension,122,0.0
true,florida cfo shut krakow scam refund million josephin victim con man,127,0.0
mostly-true,women get comput scienc degr factor plus,102,0.0
false,air forc want taxpay fund fantasi footbal leagu,64,0.0
pants-fire,barack hussein obama forc court accept islam sharia law domest disput,93,0.0
half-true,percent murder crime commit gun peopl actual legal purcha gun,117,0.0
mostly-true,neighborhood school close,38,0.0
mostly-true,told gay organ massachusett would stronger advoc special right even ted kennedi,113,0.0
mostly-true,year speaker florida hous consist offer leaner budget governor offer,110,0.0
barely-true,alreadi almost halfway goal creat new job seven year,91,0.0
true,say u suprem court found social secur guarant,73,0.0
false,saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado,99,0.0
true,oregonian amaz cost way fight abort free polit donat,86,0.0
pants-fire,presid said hes go bring syrian iraqi refug countri,95,0.0
barely-true,research show vast major arriv immigr today come believ govern sourc prosper support,169,0.0
mostly-true,newt gingrich immigr plan offer new doorway amnesti,64,0.0
false,mr caprio career politician never work privat sector,77,0.0
barely-true,rhode island percent worker use state temporari disabl insur program year new jersey rate percent,150,0.0
mostly-true,year spend social secur feder health care interest debt exceed tax revenu,121,0.0
mostly-true,presid obama took money wall street campaign anybodi ever,92,0.0
half-true,donald trump said nuclear prolif ok,50,0.0
true,hillari clinton taken lobbyist,55,0.0
false,barack obama never even work busi,47,0.0
half-true,say arizona immigr law expressli ban racial profil,65,0.0
false,say gov rick perri beg feder govern send coast guard patrol two lake u mexico border,135,0.0
barely-true,va veteran die wait care,60,0.0
mostly-true,spend percent economi govern,58,0.0
barely-true,rob cornil support privat medicar,44,0.0
false,dan branch tri expand third trimest abort texa,71,0.0
half-true,democrat made steadi progress creat job improv school,81,0.0
pants-fire,michigan massachusett rai bottl deposit could longer afford program redempt high profit,160,0.0
true,whether like admit half general revenu goe educ,80,0.0
false,im one whos fought develop drain everglad,71,0.0
half-true,say ron johnson call social secur ponzi scheme want privat program,89,0.0
half-true,state citi type polici pass refer north carolina hous bill,149,0.0
barely-true,climat chang direct relat growth terror,62,0.0
barely-true,job bill includ presid obama tax soup kitchen,60,0.0
barely-true,say obama administr spent taxpay dollar electr car finland windmil china,106,0.0
half-true,sarah mayor wasilla tri fire high respect citi librarian librarian refus consid remov librari book sarah want remov,192,0.0
half-true,milwauk approv reduc maximum forfeitur marijuana possess citi would differ bicycl violat higher forfeitur,169,0.0
false,illeg immigr five year ago,64,0.0
barely-true,say rick perri wrote letter support hillarycar,54,0.0
false,u patent trademark offic receiv zero complaint washington redskin name,97,0.0
pants-fire,presid health care propo caus american premium increa decrea hundr million peopl lose current insur coverag,185,0.0
mostly-true,mexican immigr law abid u citizen statist,85,0.0
half-true,say chris christi veto job packag bill,54,0.0
true,alreadi american job solar industri coal mine,79,0.0
half-true,say illinoi gubernatori candid bill bradi first prioriti win primari sponsor bill would mass euthan shelter dog cat gas chamber,179,0.0
half-true,barack obama economi worsen sinc hes presid unit state,96,0.0
mostly-true,romney fail take action sanctuari citi massachusett,73,0.0
half-true,say new jersey near job pre recess peak gov chris christi new jersey trail rest america come unemploy consecut month,200,0.0
false,say thoma eric duncan came unit state elev temperatur,81,0.0
mostly-true,afghanistan longer foreign land conduct war nation histori,117,0.0
half-true,gas price gone sinc obama took offic,51,0.0
true,webster sponsor bill creat form marriag would trap women abus relationship,101,0.0
true,say judg get better benefit lower cost everybodi el state,81,0.0
true,lot casino across countri gone bankrupt,70,0.0
true,small busi creat percent job america,58,0.0
half-true,senior coverag medicar advantag give share health care reform,113,0.0
half-true,school kid arrest florida make florida nation leader area,99,0.0
mostly-true,texa countri economi would rank world,67,0.0
false,oil rig oper unit state rest world combin,94,0.0
half-true,payday lender profit poor charg plus percent interest,76,0.0
half-true,social secur trust fund sound without anyth done would function well even time chang could pay percent benefit peopl earn,210,0.0
mostly-true,commit voter take serious incumb ohio break pledg vote ted strickland incom tax hike defeat sound tuesday,171,0.0
false,obama administr shut amber alert program govern shutdown,94,0.0
mostly-true,republican percent muslim vote,50,0.0
mostly-true,w e see america prison popul explod america greater percentag peopl behind bar nation world,149,0.0
pants-fire,say hear rep gabriel gifford suggest gen david petraeus armi put emphasi less environ damag method like stab club enemi forc order minim carbon output,233,0.0
half-true,everi singl one republican senat block rai minimum wage receiv cost live adjust januari,159,0.0
true,texa name new male babi mani vote one day jose,84,0.0
mostly-true,marco rubio vote author presid obama strike syria assad use chemic weapon peopl,122,0.0
false,cash clunker program got go local junkyard got tow hous go get,165,0.0
false,one republican gut recogn climat chang real,73,0.0
half-true,peopl work longer hour lower wage almost new incom goe top percent,100,0.0
pants-fire,david dewhurst record promot incom tax,55,0.0
mostly-true,point pleasant beach beach privat oper busi jenkinson,117,0.0
barely-true,past year percent american chang mind war afghanistan conclud,142,0.0
false,last five year peopl kill along u mexico border,84,0.0
barely-true,state ohio one lowest unemploy rate nation right lead pack term job creation,132,0.0
false,say obama health reform law deni million access afford insur,76,0.0
barely-true,say hb hasnt move needl one iota north carolina economi,68,0.0
false,close feder prison popul consist illeg immigr,77,0.0
false,say rick scott call educ core function state,66,0.0
false,famili research council accord govern agenc terrorist group,89,0.0
true,say rep jim weidner propo bill take away health care oregon children,93,0.0
true,say elect former gov tom kean largest win margin gubernatori candid jersey histori,131,0.0
false,obamacar biggest tax increa american histori,58,0.0
true,said barack obama readi command chief,70,0.0
mostly-true,median male worker countri seen rai inflat adjust year basic,105,0.0
barely-true,milwauk mayor tom barrett held line properti tax,64,0.0
true,im member hous repr rai campaign fund last elect small contribut less,153,0.0
true,unlik gridlock washington percent bill pass general assembl bipartisan support,131,0.0
false,josh mandel lie record rate ohio invest fund improv,96,0.0
half-true,rick scott took famili lea land drill tri hide,106,0.0
half-true,money possibl lea ohio turnpik would use,69,0.0
mostly-true,begin last decad america budget surplus billion time took offic one year deficit trillion project deficit trillion next decad,223,0.0
half-true,presid nomin confirm four defeat,77,0.0
true,u taxpay forc fund feisal abdul rauf trip middl east,83,0.0
barely-true,milwauk counti taxpay paid settl lawsuit deci sheriff david clark jr use untrain correct offic rather deputi patrol lakefront,191,0.0
mostly-true,justic depart polici fbi director jame comey discuss detail feder investig close elect,141,0.0
true,democrat presid consid effect creat privat sector job,94,0.0
true,joe biden vote first gulf war oppo surg want partit iraq,96,0.0
barely-true,say rush limbaugh made clear hed rather see countri fail presid barack obama succeed,101,0.0
half-true,one percent american peopl make percent incom america wasnt way georg bush becam presid,141,0.0
half-true,militari recruit went harvard everi singl day throughout time kagan,96,0.0
mostly-true,say rick perri plan texa cut fund public school,82,0.0
half-true,say david perdu want abolish u depart educ would cost georgia school billion year elimin million student loan,160,0.0
mostly-true,paul ryan budget propo would privat medicar,55,0.0
mostly-true,high school student arrest campus twice like graduat four time less like graduat theyv appear court,143,0.0
half-true,unit state imprison nation world,62,0.0
pants-fire,say marco rubio one open border,47,0.0
mostly-true,year feder spend educ grown percent test score remain flat,102,0.0
barely-true,say cut medicar affect peopl alreadi paid paid,77,0.0
barely-true,david alameel give thousand dollar support republican parti candid includ john cornyn greg abbott,126,0.0
true,american healthcar system burn percent nation gdp nobodi el close,90,0.0
false,provid port mile closer europ eastern port,75,0.0
true,say need photo id purcha sudaf texa,54,0.0
mostly-true,twenti percent hous portland pearl district afford,68,0.0
mostly-true,say allow payrol tax holiday expir would end cost anoth estim job,108,0.0
half-true,hillari clinton support nafta perman china trade pennsylvania lost thousand job,95,0.0
half-true,numer studi shown call right work law generat job econom growth,109,0.0
true,obama budget plan would take nation debt percent gross nation product histor percent,140,0.0
barely-true,say hillari clinton said veteran affair scandal exagg said satisfi go,126,0.0
false,driven health care cost lowest theyv year,82,0.0
half-true,presid barack obama initi respon heard christma underwear bomber say act isol extremist,155,0.0
half-true,say sen sherrod brown admit billion stimulus law fail specif attack republican want lower american tax claim stimulus bill didnt enough lower tax,228,0.019342738338790633
mostly-true,lot peopl got rich pay top tax rate percent,90,0.0
mostly-true,charleston c shootershould never given gun univ background check fast enough,120,0.0
barely-true,sixti five percent iraqi peopl say okay shoot american soldier,86,0.0
false,twelv judg thrown legal challeng health care law reject notion health care law unconstitut,149,0.0
half-true,say gov chris christi propo reduc state incom tax would second tax cut rich governor two year,134,0.0
true,warren buffett still support,39,0.0
true,say georg lemieux one two republican vote presid barack obama job bill,95,0.0
false,precinct allen west patrick murphi recount regist voter guatemalan communiti talli show vote,135,0.0
mostly-true,peopl unemploy took offic unemploy,94,0.0
barely-true,one person kathleen sebelius go determin whether year old lung patient sarah murnaghan would live die,128,0.0
pants-fire,ron klein repeat vote favor amnesti illeg immigr,70,0.0
false,local law enforc access obamacar data hub treasur trove person info,106,0.0
true,tenur mayor saw houston crime rate drop lowest level year,104,0.0
pants-fire,barack obama columbia univ id say foreign student went barri soetoro,93,0.0
barely-true,john mccain one richest peopl senat fill millionair say solut hous crisi peopl get second job skip vacat,182,0.0
false,terri mcauliff want rai tax pay infinit promi,82,0.0
half-true,hypocrisi clinton foundat top male staff made averag top femal staff made,129,0.0
mostly-true,sinc feder violenc women act adopt case domest violenc fallen percent,119,0.0
half-true,say feder law enforc offic cut question christma day underwear bomber give miranda warn minut question,160,0.0
half-true,legal illeg immigr,33,0.0
true,near half pregnanc u unintend,58,0.0
half-true,borrow saudi money saudi oil result depend debt,89,0.0
half-true,say home sale around oswego lake right anyon welcom buy,117,0.0
half-true,sinc presid becam presid lost million job privat sector know whos done ok whos complain today public sector weve gain public sector job,211,0.0
false,top percent pay half entir revenu countri,71,0.0
barely-true,differ previous four year thing head brought last four year total save properti tax money,180,0.0
half-true,chris christi increa tax anyon,53,0.0
barely-true,unit state system grower dairi bring workforc legal u,118,0.0
false,say never said would keep educ fund,60,0.0
true,sinc colleg tuition nationwid gone someth like four time rate inflat,99,0.0
half-true,say sen rob portman said would irrespon cut medicar,74,0.0
mostly-true,dekalb school construct project alway came budget,105,0.0
false,palin support right wing extremist pat buchanan presid,74,0.0
barely-true,say sen sherrod brown vote block american energi product increa energi tax,92,0.0
barely-true,say jeann shaheen vote measur would amount new nation energi tax,94,0.0
half-true,washington c strictest gun law countri pass violenc skyrocket,117,0.0
mostly-true,seven presid barack obama republican democrat tri expand health care american,116,0.0
false,fight move toughen penalti workplac gender discrimin state sen glenn grothman said didnt believ women belong workplac belong home cook clean babi,221,0.0
false,put billion revenu rai year buffett rule infrastructur could creat infrastructur job,146,0.0
pants-fire,proper collect noun group baboon believ congress,94,0.0
true,repeat said mani predatori loan made mortgag system target african american latino communiti,145,0.0
mostly-true,start decemb million job creat texa period rest countri lost job,130,0.0
barely-true,health reform legisl washington pass last year made difficult hire increa cost employ,143,0.0
barely-true,cbo congress budget offic said obamacar kill job,88,0.0
barely-true,thompson vote cap damag almost anyth would make legal system fairer,112,0.0
pants-fire,texa fiscal year money reserv state combin,89,0.0
false,use strateg petroleum reserv,41,0.0
mostly-true,immigr fertil,28,0.0
mostly-true,propo educ chang cut one teacher pay,64,0.0
pants-fire,number uninsur peopl massachusett mandat pass,114,0.0
mostly-true,firearm homicid percent sinc texa pass conceal gun permit law,89,0.0
false,upward percent women seek abort decid abort see ultrasound,109,0.0
pants-fire,spend less defen today gdp time sinc pearl harbor,79,0.0
mostly-true,got rid incom tax today much revenu year ago,95,0.0
half-true,say scott walker want ban common form birth control includ pill,81,0.0
false,jason kander support obama plan bring remain suspect terrorist u soil,93,0.0
half-true,shelbi counti donat im sorri gave school citi memphi,71,0.0
half-true,top u intellig offici toldeveri member congress includ presid attack serious way threat eman syria iraq,189,0.021977097410684987
true,suburb inund former resid atlanta hous project absolut,98,0.0
true,juli mitt romney help locat miss teenag daughter partner bain capit,98,0.0
barely-true,blame mike mcintyr nanci pelosi second straight year cost live increa social secur beneficiari,132,0.0
barely-true,govern go right get bank account health care bill make transfer without know,140,0.0
half-true,mechan place shut internet privat,66,0.0
barely-true,american peopl support defund obamacar oppo shut govern,88,0.0
half-true,report gop insist chang social secur part fiscalcliff fal btw chang support barackobama,136,0.0
true,nobodi play clip presid obama say bring knife fight well bring gun,123,0.0
pants-fire,peopl rhode island dont want sex marriag,55,0.0
half-true,rep paul ryan medicar plan line pocket privat insur compani increa cost senior reduc deficit,144,0.0
barely-true,year congress conni mack iv miss almost half vote,75,0.0
barely-true,kid drop high school go colleg start career,82,0.0
barely-true,even old gen eisenhow salut militari personnel presid,69,0.0
true,wisconsin governor cut perquisit much plan would still leav worker better privat sector counterpart,148,0.0
barely-true,cant get airplan peopl list abl buy gun,97,0.0
false,percent republican support afford care act,58,0.0
half-true,everi spent afterschool program save almost crime cost line,105,0.0
half-true,feder govern trillion cash flow pay bill wont default,94,0.0
false,say alex sink fail florida homeown use predatori lend practic,78,0.0
barely-true,percent small mid size bank loan money small busi wipe sinc dodd frank pass,128,0.0
barely-true,cant check librari book without photo id,53,0.0
pants-fire,say starbuck took christma brand new cup,63,0.0
mostly-true,atmosph condit could push footbal pressur approxim one half pound per squar inch,112,0.0
false,hillari clinton support unlimit abort demand moment birth includ partial birth abort taxpay fund,140,0.0
true,legisl clear georgia hous children legal refug could obtain state scholarship attend privat school,149,0.0
mostly-true,went lose million job last six month bush administr ad almost privat sector job first six month year,164,0.0
half-true,star ohio fund receiv highest possibl credit rate one fund receiv,99,0.0
half-true,taxpay hook less third propo new atlanta falcon stadium fund repaid money come outsid,161,0.0
mostly-true,last month busi creat million job last year creat job sinc,122,0.0
half-true,everi year million leav missouri lone star state,79,0.0
mostly-true,colleg loan loan unit state refin interest rate go,107,0.0
mostly-true,hous repr never pass resolut disapprov condemn member behavior,105,0.052774523155955544
mostly-true,younger competitor entir immigr,81,0.0
half-true,recent intern report show unit state near bottom among industri nation k academ achiev,127,0.0
true,say million peopl countri cant find full time job million cant see doctor theyr sick million peopl need govern help feed million famili owe valu home,233,0.0
half-true,polici mistak clinton made got us larg degr situat today mass incarc,134,0.0
barely-true,say rai averag famili incom percent tenur arkansa governor,90,0.0
half-true,tri give us million build high speed train goe mile hour,90,0.0
half-true,say cbo estim fulli extend bush tax cut would add million job million job,142,0.0
true,presid reagan rai debt ceil time georg w bush seven time,94,0.0
half-true,accord david cay johnston averag american pay percent incom feder tax richest american pay percent incom feder tax,190,0.0
false,young american right theyr cover health insur,71,0.0
mostly-true,corpor incom tax account percent feder tax revenu today despit record break profit corpor tax bring less percent,172,0.0
true,last year texa creat percent net new job nationwid,80,0.0
pants-fire,say two third group target ir scrutini conserv,74,0.0
pants-fire,class patric lumumba univ moscow mahmoud abba one member class ali khamenei first establish relationship young vladimir putin,222,0.0
half-true,last week texa state board educ sboe led rick perri appoint vote remov thoma jefferson social studi textbook standard right thoma jefferson delet list histor figur inspir polit chang,265,0.0
barely-true,u senat salari perk berni top percent still paid percent tax last year,126,0.0
true,know pull truth matter start today would take one year one year get troop physic iraq logist,180,0.0
half-true,richest american increa net wealth billion yet republican budget would requir american contribut one penni deficit reduct,200,0.0
half-true,say foster mayor rick kriseman ineffect florida hous repr legisl pass hous kriseman name,191,0.0
mostly-true,say texa routin get lot feder spend pay tax,76,0.0
false,cell phone number go public month,40,0.0
barely-true,say offer million save million save next year contract negoti citi milwauk,159,0.0
false,clackama counti commiss approv negoti agreement lower counti contribut trimet portland milwauki light rail project million million,183,0.0
mostly-true,say texa differ feloni commit oyster,67,0.0
false,obama administr unwind nation welfar work requir,79,0.0
true,electr car sale georgia drop dramat sinc tax credit elimin annual registr fee impo juli,151,0.0
half-true,redskin train camp deal generat million new privat invest citi,92,0.0
half-true,gop budget plan would cut near million job,52,0.0
half-true,peopl live countri born anytim histori countri,114,0.0
half-true,say hillari clinton defend syria presid assad possibl reform start countri civil war,116,0.0
half-true,postal servic financ loss result law drain billion year post offic revenu postal servic forc overpay billion feder account,198,0.0
mostly-true,mani six feder depart budget bill delay opposit amend would ban conf battl flag sale feder build gift shop,177,0.0
pants-fire,shes vote tax increa hurt middl class small busi,79,0.0
barely-true,hous repr differ job bill pass almost bipartisan,131,0.0
pants-fire,sheila jackson lee texa said hey wrink white age time die let next generat spot planet,159,0.0
barely-true,republican small busi tax cut bill spend million better googl search job creation,104,0.0
mostly-true,state law would allow oper iron ore mine northern wisconsin fill pristin stream pond mine wast,138,0.0
barely-true,america one highest tax nation world,57,0.0
false,black america countri itd th wealthiest nation world,80,0.0
half-true,sinc republican took elect graduat rate wisconsin gone percent percent black graduat rate gone percent percent latino graduat rate gone percent percent,258,0.0
barely-true,estim near percent gun sold america sold privat unlicen seller either onlin gun show,148,0.0
true,deadliest year war afghanistan american forc,76,0.0
mostly-true,florida teacher alreadi paid nation averag,70,0.0
half-true,sinc rick perri becam governor texa gone th countri th popul graduat high school,132,0.0
true,say amanda fritz manag less percent citi oper,65,0.0
half-true,streetcar project plan mayor tom barrett would style trolley,82,0.0
half-true,american last year doubl amount money spend per child educ result gotten wor better,163,0.0
barely-true,poll show floridian dont want repeal afford care act,71,0.0
false,say congressman bill pascrel vote remov public option afford health care act,101,0.0
true,lawmak paid season effort first time take lead draw border two would citi,130,0.0
pants-fire,greg abbott surrog refer women victim rape incest though somehow confront minor issu,159,0.0
true,offshor drill energi,31,0.0
barely-true,propo medic marijuana amend florida dont get refil get forev,100,0.0
pants-fire,data store microchip would implant major peopl opt becom cover public health care option,131,0.0
half-true,enact right carri act would amount expand right sex offend terrorist child predat abus carri conceal weapon across state line,174,0.0
true,miss vote sinc,35,0.0
barely-true,say treasur offic save million manag cost oversight public invest,109,0.0
mostly-true,say georgia send state money per child state charter school budget cut appli charter school,137,0.0
false,jorg elorza want impo municip incom tax,52,0.0
barely-true,suprem court cant overrul two branchesof govern,68,0.0
pants-fire,rough ri crimin record,39,0.0
half-true,nathan deal cut hope scholarship program liter georgian abl go colleg get technic train bad need rai know give chanc good job,222,0.0
half-true,governor arkansa cut tax fee almost time save taxpay almost million left surplus near million,146,0.0
half-true,havent rai tax time ive governor new jersey,70,0.0
false,massachusett public school teach kid young kindergartn gay marriag,86,0.0
pants-fire,probabl one four five best known american world,71,0.0
barely-true,accept legal immigr ever histori unit state,95,0.0
true,congress bewild scope reach spi apparatus explicit reject amend call disclosur,152,0.0
half-true,six peopl florida die result expand medicaid everi day,76,0.0
mostly-true,gov maggi hassan budget propo rai tax small busi increa tax fee million,114,0.0
barely-true,washington would politician spend million teach moroccan make potteri,94,0.0
true,hillari clinton start percent countri,72,0.0
false,saysrand paulha put budget cut militari half,61,0.0
half-true,group receiv foreign money spend huge sum influenc american elect,89,0.0
true,say legisl cut mean texa spend averag less per student,78,0.0
half-true,current rate presid obama ad debt unit state america end first term previous presid combin,177,0.0
half-true,know saudi arabia start al qaida,43,0.0
mostly-true,say williamson counti attorney jana duti never prosecut singl adult feloni case,90,0.0
false,fundrai number grassroot support unmatch,72,0.0
mostly-true,issu make illeg us negoti enough firefight job,83,0.0
mostly-true,say although unemploy rate seem improv reflect real job creation caus shrink actual labor forc,152,0.0
pants-fire,gov scott walker hire convict assembl speaker scott jensen over raid state employ retir system help balanc state budget,155,0.0
barely-true,obama vote cut fund american troop battlefield,76,0.0
mostly-true,general appear wisconsin right work bill would like appli green bay packer player union,121,0.0
mostly-true,call defen minist peopl republ donetsk actual post brag social media post shot militari transport becam appar civilian pull social media,248,0.0
half-true,democrat kind fall see rai tax faster look like go rai tax anywh percent,158,0.0
mostly-true,right one highest job growth sector leisur hospit weve ad job fall within restaur bar sector industri high pay job u depart labor estim industri sector lowest averag wage lowest proport workforc earn minimum subminimum wage job,370,0.0
barely-true,gov scott walker bought new brand new vehicl state probabl dont need,93,0.0
half-true,say pass eight measur includ one prevent grope airport secur check bar sanctuari citi texa,129,0.0
false,gotten point averag feder worker make twice much averag privat sector worker,112,0.0
false,polit appoint ipab make major health care deci million american,121,0.0
barely-true,say store bar sell watt light bulb,72,0.0
true,last three presid go back ear find three presid row consecut elect,145,0.0
barely-true,jason carter support use georgia tax dollar promot obamacar,68,0.0
mostly-true,recent associ press poll nader gonzalez percent without nation coverag mccain obama,127,0.0
half-true,dan patrick said women get paid less man job problem,99,0.0
half-true,weve got averag soldier commit suicid day,79,0.0
